"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1902,"de","Baumann, Adrian (Zürich)","DE77h ; airfoil ; kite",144236,9/14/1902,"Apparatus for carrying articles by means of a wing in the air","Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000144236a.pdf",,"Vorrichtung zum Tragen von Gegenständen mittels einer Tragfläche in der Luft",,1,9/14/1902,11/7/1903,,
1902,"de","Müller (Offenbach a. M.)",,147626,11/6/1902,"Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,,,,
1902,"de","Robitzsch",,,11/26/1902,"Verfahren Flugmaschinen durch Verstellen der Tragflächen in der Gleichgewichtslage zu erhalten und ohne Steuer lenkbar zu machen","Lilienthal museum",,"Verfahren Flugmaschinen durch Verstellen der Tragflächen in der Gleichgewichtslage zu erhalten und ohne Steuer lenkbar zu machen",,1,,,,
1903,"de","Schundling",,,2/27/1903,"Schraubenpropeller","Lilienthal museum",,"Schraubenpropeller",,1,,,,
1903,"de","Walden",,,3/13/1903,"Luftfahrzeug mit mehreren gleichmäßig verteilten Steuern","Lilienthal museum",,"Luftfahrzeug mit mehreren gleichmäßig verteilten Steuern",,1,,,,
1903,"de","Lilienthal, G.",,149865,3/25/1903,"Künstliches Reittier","Lilienthal museum",,"Künstliches Reittier",,1,,,,
1903,"de","Lanz (Rodaun, Nieder-Österreich)",,158208,5/10/1903,"Antriebsvorrichtung für Fahrzeuge, bestehend aus zwei übereinander liegenden, sich um eine gemeinsame Achse in entgegengesetzter Richtung drehenden Wendeflügelrädern","Lilienthal museum",,"Antriebsvorrichtung für Fahrzeuge, bestehend aus zwei übereinander liegenden, sich um eine gemeinsame Achse in entgegengesetzter Richtung drehenden Wendeflügelrädern",,1,,,,
1903,"de","Hückel (Neutitschein)",,155359,7/11/1903,"Flügelwendevorrichtung mit Planetengetriebe","Lilienthal museum",,"Flügelwendevorrichtung mit Planetengetriebe",,1,,,,
1903,"de","Sanssure",,,9/22/1903,"Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,,,,
1903,"de","Kersten (Köln)",,155681,10/26/1903,"Flugvorrichtung (ohne Benutzung eines Ballons) die durch die Ungleichartigkeit der Luftstömungen in","Lilienthal museum",,"Flugvorrichtung (ohne Benutzung eines Ballons) die durch die Ungleichartigkeit der Luftstömungen in",,1,,,,
1903,"de","Knäpper (Dortmund)",,160742,12/29/1903,"Vorrichtung, um in der Luft schwebenden Gegenständen eine lotrechte oder waagerechte Bewegung zu erteilen","Lilienthal museum",,"Vorrichtung, um in der Luft schwebenden Gegenständen eine lotrechte oder waagerechte Bewegung zu erteilen",,1,,,,
1904,"de","Mullen (Perth, Australia)",,157399,1/25/1904,"Schlagflügelanordnung für Flugmaschinen","Lilienthal museum",,"Schlagflügelanordnung für Flugmaschinen",,1,,,,
1904,"de","Kersten (Köln)",,158906,1/26/1904,"Flugvorrichtung nach Patent 155681 gekennzeichnet durch den Ersatz der unteren Fläche durch eine Tre","Lilienthal museum",,"Flugvorrichtung nach Patent 155681 gekennzeichnet durch den Ersatz der unteren Fläche durch eine Tre",,1,,,,
1904,"de","Roze",,,3/5/1904,"Aus zwei länglichen Ballons bestehendes Luftschiff","Lilienthal museum",,"Aus zwei länglichen Ballons bestehendes Luftschiff",,1,,,,
1904,"de","Wright, O.",,,3/23/1904,"Flugzeug mit waagerechten Kopfruder und senkrechtem Seitenruder","Lilienthal museum",,"Flugzeug mit waagerechten Kopfruder und senkrechtem Seitenruder",,1,,,,
1904,"de","Buntebarth (Goch)",,167923,5/25/1904,"Einseitig wirkendes Luftschaufelrad mit umlaufenden Segeln","Lilienthal museum",,"Einseitig wirkendes Luftschaufelrad mit umlaufenden Segeln",,1,,,,
1904,"de","Bossuet",,175476,7/9/1904,"Luftschiff","Lilienthal museum",,"Luftschiff",,1,,,,
1904,"de","Hoernes (Linz a. D.)","delete me?",173595,12/16/1904,"Antriebsvorrichtung für Luft- und Waserfahrzeuge","Lilienthal museum",,"Antriebsvorrichtung für Luft- und Waserfahrzeuge",,1,,,,
1904,"de","Hoernes (Linz a. D.)",,173595,12/17/1904,"Antriebsvorrichtung für Luft- und Wasserfahrzeuge, sowie für andere Transportmittel","Lilienthal museum",,"Antriebsvorrichtung für Luft- und Wasserfahrzeuge, sowie für andere Transportmittel",,1,,,,
1905,"de","Dudgeon-Dufaux (Genf, Switzerland)","delete me?",173596,2/25/1905,"Flugmaschine","Lilienthal museum",,"Flugmaschine",,1,,,,
1905,"de","Dudgeon - Dufaux A. ; Dufaux, H. (Genf, Switzerland)",,173596,2/26/1905,"Flugmaschine mit Schrauben und Tragflächen sowie mit Vorrichtung zum Ändern der Flugrichtung","Lilienthal museum",,"Flugmaschine mit Schrauben und Tragflächen sowie mit Vorrichtung zum Ändern der Flugrichtung",,1,,,,
1905,"de","Richter",,,3/7/1905,"dachaufbau für Spielteugbauten","Lilienthal museum",,"dachaufbau für Spielteugbauten",,1,,,,
1905,"de","Brandl (München)",,173926,4/28/1905,"Flugapparat mit bei Beugestellung der Arme bewegten Flächen","Lilienthal museum",,"Flugapparat mit bei Beugestellung der Arme bewegten Flächen",,1,,,,
1905,"de","Wortmann",,,6/1/1905,"Flügelrad zum Antrieb von Luftfahrzeugen","Lilienthal museum",,"Flügelrad zum Antrieb von Luftfahrzeugen",,1,,,,
1905,"de","Hofmann, J. (Berlin)",,175477,6/5/1905,"Verbesserung der Schraubenpropeller nach Patent Nr. 141656","Lilienthal museum",,"Verbesserung der Schraubenpropeller nach Patent Nr. 141656","DE141656",1,,,,
1905,"de","Bollhorn (Hamburg-Veddel)",,190857,9/30/1905,"Luftfahrzeug mit zwei vereingten Ballonkörpern","Lilienthal museum",,"Luftfahrzeug mit zwei vereingten Ballonkörpern",,1,,,,
1905,"de","Lützenburger (Freiburg, Baden)",,173718,10/13/1905,"Flügelrad mit radialen, um ihre Längsachse drehbaren Schaufeln","Lilienthal museum",,"Flügelrad mit radialen, um ihre Längsachse drehbaren Schaufeln",,1,,,,
1905,"de","Wiessing",,,10/19/1905,"Aus Ventilatoren bestehende Steuer und Bewegungsvorrichtung für Luftschiffe","Lilienthal museum",,"Aus Ventilatoren bestehende Steuer und Bewegungsvorrichtung für Luftschiffe",,1,,,,
1905,"de","Fritz (Boptingen)",,185172,11/9/1905,"Schlagflieger mit zwei gleichdestalteten fächerartigen Flügeln","Lilienthal museum",,"Schlagflieger mit zwei gleichdestalteten fächerartigen Flügeln",,1,,,,
1905,"de","Ellehammer (Frederiksberg, Denmark)",,188947,12/7/1905,"Vorrichtung zum Erhalten der Gleichgewichtslage von Luftschiffen","Lilienthal museum",,"Vorrichtung zum Erhalten der Gleichgewichtslage von Luftschiffen",,1,,,,
1905,"de","Rebikow",,,"1905?","Hubschrauber","Lilienthal museum",,"Hubschrauber",,1,,,,
1906,"de","Hofmann (Berlin)",,175478,1/2/1906,"Neuerung an Flugmaschinen","Lilienthal museum",,"Neuerung an Flugmaschinen",,1,,,,
1906,"de","Breslauer (Leipzig)",,223252,1/18/1906,"Vorrichtung zum Fliegen","Lilienthal museum",,"Vorrichtung zum Fliegen",,1,,,,
1906,"de","Veeh",,,1/18/1906,"Airship, with struts to maintain flat shape","Lilienthal museum",,"Luftschiff, dessen Tragkörper eine flache Gestalt besitzt, die durch Sreben erhalten wird",,1,,,,
1906,"de","Reden",,,1/21/1906,"Flügelflieger mit um die Längsachsen drehbaren Flügelenden","Lilienthal museum",,"Flügelflieger mit um die Längsachsen drehbaren Flügelenden",,1,,,,
1906,"de","Fauber (Chicagoja)",,202333,2/25/1906,"Drachenflieger","Lilienthal museum",,"Drachenflieger",,1,,,,
1906,"de","Rebikoff",,,3/17/1906,"Luftschraube","Lilienthal museum",,"Luftschraube",,1,,,,
1906,"de","Geissler, E. (Wilhelmshöhe)",,186067,3/28/1906,"Aus einem Fallschirm mit oben befindlicher öffnung bestehender Öffnung bestehender Flugapparat","Lilienthal museum",,"Aus einem Fallschirm mit oben befindlicher öffnung bestehender Öffnung bestehender Flugapparat",,1,,,,
1906,"de","Reden",,,5/1/1906,"Flugmaschine mit Schlagflügeln deren Enden um die Längsachsen verdrehbar sind","Lilienthal museum",,"Flugmaschine mit Schlagflügeln deren Enden um die Längsachsen verdrehbar sind",,1,,,,
1906,"de","Berghaus, Emil (Essen-West)","DE77h, group 6 ; propulsion",194121,6/3/1906,"Propeller","Lilienthal museum ; full text: http://www.museumnet.lilienthal-museum.de/digitalisate/de000000194121a.pdf ; Aaron translates:  It's for air not water. It's a basic structure onto which other things are to be attached.  It's made of celluloid, which is ver",,"Luftschraube",,1,6/3/1906,1/14/1908,,
1906,"de","Steiner",,,6/5/1906,"Flügelrad mit Haube","Lilienthal museum",,"Flügelrad mit Haube",,1,,,,
1906,"de","Bode",,202876,6/7/1906,"Flügelflieger","Lilienthal museum",,"Flügelflieger",,1,,,,
1906,"de","Lentz (Halensee, France)",,204238,6/18/1906,"Device for moving objects in the air by flapping motion of accelerated surfaces (correct?)","Lilienthal museum",,"Vorrichtung zum Bewegen von Körpern in der Luft durch beschleunugte Schlagbewegungen von Flächen",,1,,,,
1906,"de","Harper (New Bloomfield)",,186497,7/27/1906,"Mit Luftpropeller verbundene Explosionsmaschine","Lilienthal museum",,"Mit Luftpropeller verbundene Explosionsmaschine",,1,,,,
1906,"de","Mallachow",,,8/29/1906,"Paired opposing sailing-wings (correct?)","Lilienthal museum",,"Segelrad mit paarweise gegenüberliegenden Segeln",,1,,,,
1906,"de","Möller",,,9/20/1906,"Flying machine with a vertically moving wings, flaps , and valves (correct?)","Lilienthal museum",,"Flugmaschine mit senkrecht bewegten Flügeln, deren Klappen beim Aufwärtsbewegen zwangsläufig geöffne",,1,,,,
1906,"de","Geissler, E. (Wilhelmshöhe)",,204557,10/23/1906,"Flugvorrichtung mit angetriebenen Tragflächen","Lilienthal museum",,"Flugvorrichtung mit angetriebenen Tragflächen",,1,,,,
1906,"de","Rahmelow",,,11/16/1906,"Flugmaschine mit Fahrrad","Lilienthal museum",,"Flugmaschine mit Fahrrad",,1,,,,
1906,"de","Brand",,,12/9/1906,"Luftschiff","Lilienthal museum",,"Luftschiff",,1,,,,
1907,"de","Bleriot",,"---",1907,"Facility that would start flying machines from a standing position (vertical takeoff?)","Lilienthal museum",,"Einrichtung, die den Start von Flugmaschinen aus dem Stand ermöglichen sollte",,1,,,,
1907,"de","Hofmann, J. (Berlin)",,191433,1/7/1907,"Vorrichtung zum Abfliegen von Drachenfliegern","Lilienthal museum",,"Vorrichtung zum Abfliegen von Drachenfliegern",,1,,,,
1907,"de","Middleton",,,1/14/1907,"Schraubenflieger mit verstellbarer Lagerung der Schrauben","Lilienthal museum",,"Schraubenflieger mit verstellbarer Lagerung der Schrauben",,1,,,,
1907,"de","Aktiebolaget Aviatorer (Gothenburg, Sweden)","DE77h, group 10 ; airfoils",194738,1/20/1907,"Wings for flying machines","Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/digitalisate/de000000194738a.pdf",,"Flügel für Flugmaschinen",,1,1/20/1907,1/28/1908,,
1907,"de","Moorhead",,,1/29/1907,"Gleitflieger aus gestaltetem Material","Lilienthal museum",,"Gleitflieger aus gestaltetem Material",,1,,,,
1907,"de","Kruse (Charlottenburg)",,200807,2/13/1907,"Segelrad zum Heben","Lilienthal museum",,"Segelrad zum Heben",,1,,,,
1907,"de","Bernd, Dr. Erich von (Wien)","DE77h, group 11",196255,2/24/1907,"Turning vane","Lilienthal museum ; full text:  http://www.museumnet.lilienthal-museum.de/digitalisate/de000000196255a.pdf",,"Wendeflügelrad",,1,2/24/1907,3/9/1908,,
1907,"de","Hückel (Neutitschein, Mähren)",,237734,2/27/1907,"Steuervorrichtung für Wendeflächen","Lilienthal museum",,"Steuervorrichtung für Wendeflächen",,1,,,,
1907,"de","Rignon",,,3/12/1907,"Luftschiff mit in Rohren arbeitender Antriebsvorrichtung","Lilienthal museum",,"Luftschiff mit in Rohren arbeitender Antriebsvorrichtung",,1,,,,
1907,"de","Motorluftschiff-Studienge",,,4/8/1907,"unstarre Luftschraube mit Schwunggewichten","Lilienthal museum",,"unstarre Luftschraube mit Schwunggewichten",,1,,,,
1907,"de","Esnault-Pelterie, Robert (Billcourt, France)",,228604,4/11/1907,"Vorrichtung zum Verwinden der Tragflächen","Lilienthal museum",,"Vorrichtung zum Verwinden der Tragflächen",,1,,,,
1907,"de","Esnault-Pelterie, Robert (Boulogne-Sur-Seine, France)",,216650,4/13/1907,"Einflächiger Drachenfliger mit einem verwindbaren Flügelpaar","Lilienthal museum",,"Einflächiger Drachenfliger mit einem verwindbaren Flügelpaar",,1,,,,
1907,"de","Tieszen",,,5/12/1907,"Gleitflieger mit Schlagflügeln","Lilienthal museum",,"Gleitflieger mit Schlagflügeln",,1,,,,
1907,"de","Starhon",,,5/19/1907,"Segelrad, bei welchem das Ausbreiten und Zusammenlegen der Segel durch Exzenter geschieht","Lilienthal museum",,"Segelrad, bei welchem das Ausbreiten und Zusammenlegen der Segel durch Exzenter geschieht",,1,,,,
1907,"de","Lindner",,,5/29/1907,"Hang gliding over the nacelle mounted wings and control surfaces","Lilienthal museum",,"Drachenflieger mit über der Gondel angeordneten Tragflächen und mit Steuerflächen",,1,,,,
1907,"de","Strehlau",,,6/2/1907,"Flugmaschine mit schwingenden Flächen","Lilienthal museum",,"Flugmaschine mit schwingenden Flächen",,1,,,,
1907,"de","Buckwalter (Loudonville, USA)",,214862,7/2/1907,"Flugmaschine mit Höhen-und Seitensteuerung","Lilienthal museum",,"Flugmaschine mit Höhen-und Seitensteuerung",,1,,,,
1907,"de","Rodeck",,,7/3/1907,"Versteifungsfläche für Luftfahrzeuge","Lilienthal museum",,"Versteifungsfläche für Luftfahrzeuge",,1,,,,
1907,"de","Reiszner",,,7/5/1907,"Kite flying with swinging the wings located drive frame  (clarify?)","Lilienthal museum",,"Drachenflieger mit pendelnd an den Drachenflächen angeordneten Antriebsgestell",,1,,,,
1907,"de","Hein (Düsseldorf)",,208215,8/5/1907,"Schraube für Flugmaschinen, Luftschiffe und dgl.","Lilienthal museum",,"Schraube für Flugmaschinen, Luftschiffe und dgl.",,1,,,,
1907,"de","Equerilley-Montjustin (Kiel)",,202335,8/22/1907,"Drachenflieger","Lilienthal museum",,"Drachenflieger",,1,,,,
1907,"de","Gathmann (Washington)",,203785,8/25/1907,"Luftschraube","Lilienthal museum",,"Luftschraube",,1,,,,
1907,"de","Crocco (Rome); Ricaldini, Ottario",,210450,9/7/1907,"Pralluftschiff mit einem steifen Tragbalken","Lilienthal museum",,"Pralluftschiff mit einem steifen Tragbalken",,1,,,,
1907,"de","Brackelsberg (Ohligs, Rhld.)",,209844,9/26/1907,"Flugmaschine mit beweglicher Höhensteuer","Lilienthal museum",,"Flugmaschine mit beweglicher Höhensteuer",,1,,,,
1907,"de","Neubert",,,9/29/1907,"Segelrad für Luftschiffe mit zusammenlegbaren Flächen","Lilienthal museum",,"Segelrad für Luftschiffe mit zusammenlegbaren Flächen",,1,,,,
1907,"de","Day (Bowling Green, Ohio)",,233097,10/2/1907,"Schraubenflieger mit einem unter den Hubschrauben angebrachten Fallschirm und unter diesem widerum befindlichen Steuerflächen","Lilienthal museum",,"Schraubenflieger mit einem unter den Hubschrauben angebrachten Fallschirm und unter diesem widerum befindlichen Steuerflächen",,1,,,,
1907,"de","Hennebique (Paris)",,215960,10/2/1907,"Antribsvorrichtung für Luftschiffe und dergl.","Lilienthal museum",,"Antribsvorrichtung für Luftschiffe und dergl.",,1,,,,
1907,"de","Deyn (Bremen)",,214228,10/24/1907,"Flugvorrichtung","Lilienthal museum",,"Flugvorrichtung",,1,,,,
1907,"de","Geest (München)",,240268,10/30/1907,"Flügelartige Tragfläche für Luftfahrzeuge","Lilienthal museum",,"Flügelartige Tragfläche für Luftfahrzeuge",,1,,,,
1907,"de","Mare'chal",,,10/31/1907,"Flügel für Flugmaschinen, der um eine Welle drehbar ist und zwischen Spreizstangen entfaltet und zusammengefaltet wird","Lilienthal museum",,"Flügel für Flugmaschinen, der um eine Welle drehbar ist und zwischen Spreizstangen entfaltet und zusammengefaltet wird",,1,,,,
1907,"de","Hipssich (Bremen)",,226932,11/5/1907,"Drachenflieger","Lilienthal museum",,"Drachenflieger",,1,,,,
1907,"de","Neyen",,,11/5/1907,"Schraubenflieger","Lilienthal museum",,"Schraubenflieger",,1,,,,
1907,"de","Antoni, Ugo (Pisa, Italy)","Airplane",236836,11/17/1907,"Flying machine with flexible, flat wings at rest","Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3106",,"Flugmaschine mit nachgiebigen, in der Ruhelage ebenen Flügeln",,1,,,,
1907,"de","Staben",,,12/4/1907,"Luftschiff mit verstellbarer Gondel und verstellbaren Schrauben","Lilienthal museum",,"Luftschiff mit verstellbarer Gondel und verstellbaren Schrauben",,1,,,,
1907,"de","Strehlau",,,12/6/1907,"Vorrichtung zur Erzielung eines Auf-und Vortriebes an Flugmaschinen und anderen Fahrzeugen","Lilienthal museum",,"Vorrichtung zur Erzielung eines Auf-und Vortriebes an Flugmaschinen und anderen Fahrzeugen",,1,,,,
1907,"de","Krempelhuber",,,12/19/1907,"Schraubenflieger mit beweglichen Fallschirm","Lilienthal museum",,"Schraubenflieger mit beweglichen Fallschirm",,1,,,,
1907,"de","Geest (München)",,240976,12/28/1907,"Flügelartige Tragfläche für Luftfahrzeuge","Lilienthal museum",,"Flügelartige Tragfläche für Luftfahrzeuge",,1,,,,
1907,"de","Wunderlich",,,12/28/1907,"Flugmaschine mit auf wagerechten Wellen zwischen besonderen Saug-und Druckkammern angeordneten Flügelrädern","Lilienthal museum",,"Flugmaschine mit auf wagerechten Wellen zwischen besonderen Saug-und Druckkammern angeordneten Flügelrädern",,1,,,,
1908,"de","Erdmann, Hugo (Dr.) (Charlottenburg)","LTA; DE77h group 3",214019,1909,"Filling airships with hot gas","online at http://www.flyingkettle.com/engerm.htm",,"Füllgas für Luftfahrzeuge",,1,8/14/1908,10/2/1909,,"DE1908-214019"
1908,"de","Lobach",,,1/7/1908,"Tragfläche für Flugmaschinen","Lilienthal museum",,"Tragfläche für Flugmaschinen",,1,,,,
1908,"de","Schultze",,,1/9/1908,"Drachenflieger mit verstellbaren Hubschrauben","Lilienthal museum",,"Drachenflieger mit verstellbaren Hubschrauben",,1,,,,
1908,"de","Burkard",,,1/13/1908,"Schraube für Flugapparate","Lilienthal museum",,"Schraube für Flugapparate",,1,,,,
1908,"de","Riedel",,,1/14/1908,"Flugmaschine mit zwei um eine Gondel unter beliebigem Neigungswinkel einstellbare Achse sich entgege","Lilienthal museum",,"Flugmaschine mit zwei um eine Gondel unter beliebigem Neigungswinkel einstellbare Achse sich entgege",,1,,,,
1908,"de","Heeren",,,1/25/1908,"Vorrichtung zur Aufrechterhaltung der Stabilität von Flugmaschinen","Lilienthal museum",,"Vorrichtung zur Aufrechterhaltung der Stabilität von Flugmaschinen",,1,,,,
1908,"de","Fronz",,,1/26/1908,"Schaufelrad, insbesondere für Luftfahrzeuge, mit ungleichmäßig schnell umlaufenden Schaufeln","Lilienthal museum",,"Schaufelrad, insbesondere für Luftfahrzeuge, mit ungleichmäßig schnell umlaufenden Schaufeln",,1,,,,
1908,"de","Chillingworth",,,2/2/1908,"Tragfläche für Flugmaschinen","Lilienthal museum",,"Tragfläche für Flugmaschinen",,1,,,,
1908,"de","Kopsch",,,2/11/1908,"Vorrichtung zur Drehung der Schwingachse von Schlagflügeln","Lilienthal museum",,"Vorrichtung zur Drehung der Schwingachse von Schlagflügeln",,1,,,,
1908,"de","Lanz",,,2/15/1908,"Antriebsvorrichtung für Luftfahrzeuge mit Schlagflügeln","Lilienthal museum",,"Antriebsvorrichtung für Luftfahrzeuge mit Schlagflügeln",,1,,,,
1908,"de","Rudies",,,2/20/1908,"Höhen und Seitensteuerung für Luftfahrzeuge","Lilienthal museum",,"Höhen und Seitensteuerung für Luftfahrzeuge",,1,,,,
1908,"de","Wasem, Hermann (Rödelheim); Bieber, Karl (Nieder-Eschbach bei Frankfurt am Main)","DE77h, group 10 ; glider ; airplane ; propellers",210376,2/20/1908,"Flying machine with two rotating horizontal wheels in the direction of travel turnable vanes (can't tell if they are propellers)","Lilienthal museum ; http://www.museumnet.lilienthal-museum.de/objekta.aspx?id=3581 ; Depatisnet",,"Flugmaschine mit zwei um wagerechte, in der Fahrtrichtung liegende Achsen drehbaren Wendeflügelrädern",,1,2/20/1908,6/1/1909,,
1908,"de","Wilson",,,2/25/1908,"Luftschiff mit einer an der unterhalb des Ballonkörpers vorgesehenen Hauptgondel angelenkten zweiten Gondel","Lilienthal museum",,"Luftschiff mit einer an der unterhalb des Ballonkörpers vorgesehenen Hauptgondel angelenkten zweiten Gondel",,1,,,,
1908,"de","Chillingworth",,,3/2/1908,"Schraubenflügel","Lilienthal museum",,"Schraubenflügel",,1,,,,
1908,"de","Helpertz",,,3/8/1908,"Flugmaschine mit Wendeflügelrädern, deren Flügel senkrecht zueinander an gemeinsamen Achsen einseitig angeordnet sind","Lilienthal museum",,"Flugmaschine mit Wendeflügelrädern, deren Flügel senkrecht zueinander an gemeinsamen Achsen einseitig angeordnet sind",,1,,,,
