Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Aero Club of Washington [DC],Local,"ACA,  15 Sept. 1909",USA,"Washington, DC","415 Union Trust Building, Washington, D.C. (at least 1910-1919)",,,1909,still exists,"1908 WP, 20 Dec.; 1909 Christian Science Monitor, 2 Jan; 1909 Baltimore Sun, 3 & 24 Jan., 1 & 2 & 19 Oct., and 13 Nov.; 1909 WP, 1 & 2 Oct.; 5 Aeronautics 11 (1909); 1910 WP, 8, 9, 23 & 25 Jan.; 1910 Aircraft, 1 Mar. and 1 Apr.; 1910 NYT, 23 June; 1910 Boston Daily Globe, 13, 14, & 16 Aug.; 2:11 Flying 34 (1913)  5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920);  ACA annuals (1910-1917, 1919); www.aeroclub.org/about/history.htm; LOC OPAC; ","Although the idea of founding an aero club in the nation's capital was not new, it was 23 Jan. 1909 when the actual organizational meeting of the Aero Club of Washington was held in the office of General Allen, the chief signal officer of the U.S. Army.  Two days later, the articles of incorporation were drawn and filed in the District of Columbia.  The club's goals, which remain unchanged to this day, include to:  foster and promote interest in the principles and development of aeronatics; extend honors and hospitalities to eminent airment; arrange for lectures and demonstrations; [and] encourage and arrange for national and international competitions, conventions, congresses and exhibitions.  Several women were among the charter members.  The Aero Club of America approved affiliation on 15 Sept. 1909.  Records of the club at the Library of Congress span the years 1909-1921, with the bulk being 1909-1912.   (Names of members of the organzing committee and of charter members were published in the Washington Post 8 Jan. 1910.)   ","The organizational committee of the Aero Club of Washington, announced in December 1908, included Dr. Albert F. Zahm, Brig. Gen. James Allen, Augustus Post (Aero Club of America), and R. McLennan.  After a tentative organization on 2 Jan. 1909 under a preliminary committee of Washingtonians headed by Allen, the club organized fully on 24 Jan. 1909, electing Truman H. Newberry (sec. of the navy), pres.; Robert Shaw Oliver (asst. sec. of war), Thomas Nelson Page, and Rep. Butler Ames, VPs; Dr. Allerton G. Cushman and Dr. Zahm, secs.; and Charles. J. Bell, treas.  Newberry declined the position and Thomas F. Walsh was elected president at the next meeting, 13 May 1909.  The officers were all reelected at the annual meeting 10 Jan. 1910.  Alexander Graham Bell was a member.  The first public function was a luncheon and reception at the Cosmos Club on 10 June 1909 in honor of  Orville and Wilbur Wright and the ACA that was followed by a ceremony at the White House where President Taft presented medals from the ACA to the Wrights.  150 members were reported in January 1910 and there was said to be a waiting list to join.  114 members reported in June 1910.  "," The Aero Club of Baltimore formed on 30 Sept. 1909 and on 1 October representatives of the Baltimore and Washington clubs met to discuss jointly hosting the 1910 Gordon Bennett aviation race and selected a site at College Park, Maryland, to propose to the ACA for the meet.  The committees representing the two-clubs in this venture amalgamated in October 1909.   [Still to determine if the GB race was held in College Park.)  The Aero Club of Washington was invited to enter a balloon in the August 1910 Harvard-Boston meet.    ",
Aero Club of Winnipeg,,,Canada,"Winnipeg, Manitoba",,,,1909,,4 Aeronautics 170 (1909); 1909 Canadian Annual Review of Public Affairs 27 (1910),The Aero Club of Winnipeg was organized 31 Mar. 1909.  The aim of the club was to assist and promote practical aeronautics by encouraging Canadian inventors.  (We are accepting the name Aero Club of Winnipeg and the starting date used in the Canadian Annual Review for that year rather than the name Aero Club of Canada and starting date of 1 April used in Aeronautics.), ,,
Aero Club of Worcester,Local,,USA,"Worcester, Massachusetts",,,,1909 or earlier,,"1908 NYT, 14 Jun.; 1908 Boston Daily Globe, 19 Nov.; 1909 Motor Cyclopaedia YB 110 Misc.; 1909 Christian Science Montior, 5 Jun.; 1914 CSM, 18 Jun.;","The Aero Club of Worcester, Mass., was formed 18 Nov. 1908 by a party of prominent Worcester businessmen following an enthusiastic address by famed autoist Charles J. Glidden, a Boston resident and vice president of the Aero Club of New England (ACONE, which see).   "," John P. Coghlin, president; W. R. Scofield, vice president; and Eben F. Thompson. Secretary-treasurer, were elected officers at the 18 Nov. 1908 gathering.  At that time, Coghlin was either president of the Worcester Auto CIub or had just completed his term as the Auto Club's president.  Including the officers, there were nine charter members, and it was decided that the club would immediately purchase a balloon to be called ""Worcester.""  In June 1909, the Worcester Merchants Association endorsed the Aero Club's efforts to purchase this balloon.  The Worcester Aero Club had its first balloon ascension from Crompton Park in Worcester on 18 June 1914.  The name of the balloon and whether there had been previous ascensions elsewhere are not yet known.  ","On a previous visit to Worcester on 13 June 1908, Glidden, and Coughlin, then president of the Worcester Automobile Club, had announced that they would work together to establish a balloon ascension park in Worcester if sufficient gas could be supplied by the Worcester Gas Light Company.    ",
Aero Club ot the International Channel : Aero Club Internationale de la Manche,Local,,France,Le Havre,"8 Rue de St. Quentin, Le Havre",,,1910 or earlier,,"""Flight"" Manual 14 (1910); 1910 Annuario dell' Aeronautica Primo 374 (Sept. 1910)",,,,
"Aero Club, Society for Encouragement of Aerial Locomotion : Aero Club, Societe d'Encouragement a la Locomotion Aerienne (apparently to 1903, 19 Dec.); then Aero Club de France, Societe d'Encouragement a la Locomotion Aerienne (apparently from 1903, 18 Dec. to 1909, 20 Apr., when it became simply Aero Club of France : Aero Club de France for which see separate entry above.) ",National,"FAI, founding member, 14 Oct. 1905",France,Paris,"Automobile Club de Paris, 6 Place de la Concorde (?-1902); 84 Rue de Faubourg, Saint Honore, Paris 8e (1902-1908); 63 Avenue des Champs-Elysees, Paris (1908-1909); 35 Rue Francois 1er, Paris (1909 to at least 1919)","Aeroclub, Paris (1906)",27620 (1906),1898,Still exists under name Aero Club de France,"3 Chamber's Journal 413 (1900); Bulletin Officiel de l'Aero Club in l'Aerophile (a sampling from 1900-1909, excluding 1905); Conference Internationale d'Aeronautique Proces-Verbaux, 12-14 Oct 1905; P-B of Aeronautics 441 (English ed., Jan. 1907); 1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 1911 Aero-Manuel 232 (1 Oct. 1910); Dir1920; www.aviation-francaise.com/100%20ans%20ACF.htm; www.fai.org/about/history; www.aeroclub.com;  http://en.wikipedia.org/wiki/A%C3%A9ro-Club_de_France; LOC OPAC; National Union Catalog Pre-1956 Imprints; WorldCat.org and WorldCat-OCLC; U. Michigan OPAC; 2004 Cailliez 198; ","Aero Club, Societe d'Encourage-ment a la Locomotion Aerienne, was the original name of the Aero Club de France, which see.  It started as an offshoot of the Automobile Club of Paris on 21 Dec. 1898 and met at its rooms.  The club's Bulletin Officiel was published in the journal L'Aerophile from 1900-1947, inclusive. It also published an annual beginning in 1899.  Ca. March 1902 its own headquarters were established at 84 Faubourg Saint-Honore, Paris, 8e.  While occasionally referred to as ""Aero Club de France,"" in the Bulletin, it appears that it was by Declaraton of 18 Dec.1903 that the name became ""Aero Club de France, Societe d'Encouragement a la Locomotion Aerienne.""  However, it was not until 1905 or 1906 that the name ""Bulletin officiel de l'Aero Club"" was changed to ""Bulletin officiel de l'Aero Club de France.""  (The 1905 Bulletin was not available online.)  In 1908, statutes were published under the title ""Aero Club de France, Societe d'Encouragement a la Locomotion Aerienne.""  It appears that on 20 Apr, 1909, the name was shortened to Aero Club de France.   ","Founders of the club included:  Ernest Archdeacon, Louis Bleriot, Henry Deutsch de la Meurthe, and the Marquis de Dikon.  In 1900, the club offered the Deutsch prize of 100,000 francs to the first aeronaut to start from the Park St Cloud, go round the Eiffel Tower, and return to the starting-point within 30 minutes; the prize was won by Santos Dumont 19 Oct. 1902.  Paul Tissandier was awarded his balloon pilot's license by the Aero Club de France on 7 Jan. 1904.  The club hosted and was one of the eight national organizations that met in Paris 12-14 Oct. 1905 to put together the Federation Aeronautique Internationale (FAI). For continuing discussion, please see the entry that begins ""Aero Club of France, Society for Encouragement of Aerial Locomotion :   Aero Club de France, Societe d'Encouragement a la Locomotion Aerienne.""  (Please note, the club has a website, www.aeroclub.com, but  we did not find it useful except to establish the club's current existence.)           ",,
"Aero League of Canada, Eastern Branch",Sub-National,,Canada,"Montreal, Quebec",, , ,1920 or earlier,1920 or later,Dir1920,The League appears to have had an eastern branch in Montreal and a western branch in Victoria.,, ,
"Aero League of Canada, Western Branch",Sub-National,,Canada,"Victoria, British Columbia",Victoria, , ,1920 or earlier,1920 or later,Dir1920,The League appears to have had an eastern branch in Montreal and a western branch in Victoria.,, ,
Aero Leaque of Canada,National and Sub-National,,Canada,"Montreal, Quebec","303 Montreal Trust Building, Montreal",,,1920 or earlier,,,The League appears to have had an eastern branch in Montreal and a western branch in Victoria.,,Have info to add from Flight and more research to do.,
Aero Photo Club of France : Aero Photo Club Francaise ,Special Interest,,France,Saint Denis,"6, Rue du Port, Saint Denis (1910)",,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 375 (Sept. 1910);,,,,
Aero Scientific Club of Washington [DC],Local,,USA,"Washington, DC","c/o Railroad YMCA, Washington, DC",,,1909,,"1909 WP, 13 Oct.; 5 Aeronautics 202 (1909); 1910 WP, 23 & 29 Jan., 2 Feb., 8 June, and 5 Oct.; 1910 Aircraft, 1 June; 1910 NYT, 3 June;","The Aero Scientific Club of Washington, DC, was formed by aeroplane builders and aviation enthusiasts of who met at the Raillroad YMCA 12 Oct. 1909.  At that meeting, a tentative constitution and by-laws were adopted and temporary officers elected. At its meeting on 1 Feb. 1910, passed a resolution urging the Smithsonian Institution and the Franklin Institute of Philadelphia to establish laboratories where aeronauts may make tests of machinery and engines for use in aeroplanes.  At its meeting on 7 June 1910, resolved to become affiliated with the Aeronautic Federation of America, which see.  It is not clear when it joined the Amerian Aeronautical Federation, which see, which was formed 22 June 1910 from the remains of the Aeronautic Federation of America, buty at its meeting 4 Oct. 1910, it voted a resolution that severed its relationship with the American Aeronautical Federation.  It was expected to affiliate with the National Council of the Aero Club of America.  ","Officers elected at the initial meeting were E. H. [or W.H.] Young, president; William H. Beck and T. H. Bean, vice presidents; F. L. Rice, secretary-treasurer.  The club also chose an historian, Herbert Oden, and an official photographer, W. S. Kline.  Samuel A. Luttrell was chosen chairman of the committee on experiments.  The original 15 members included nine who had built or were building aeroplanes or dirigible balloons.   In January 1910, the club exhibited at the YMCA's New Year's reception and at the National Automobile and Aeronautic Show from the 24th-29th.  Some 50 members by June 1910.   ","The January 1910 National Automobile and Aeronautic Show in Washington DC was organized by Sam Luttrell and H. Chadwick Hunter, president of the Automobile Club of Washington.",
Aeronautic and Pigeon Club of the Seine : Club Aeronautique et Colombophile de la Seine,Local,,France,"Le Pre Saint Gervais, Seine","47 Rue de Pantin, Le Pre-Saint-Gervais",,34,1910 or earlier,,1911 Aero-Manuel 268 (1 Oct. 1910); 1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910),,,,
Aeronautic Association of Canada,,,Canada,"Montreal, Quebec",,,,1910 or earlier,,"1910 NYT, 24 June; 1910 St. Louis Post Dispatch, 24 June; 1910 Detroit Free Press, 27 June;   ",Held aviation week in Montreal in late June 1910.,"Aviation week 1910 drew French aviator Count Jacques de Lesseps, who had recently crossed the English Channel in record time using a Bleriot monoplane.  Lesseps, who was traveling with his brother and sister, had separately shipped two Bleriot monoplanes across the Atlantic for aviation week.   ",The fate of the Aeronautic Association of Canada after aviation week 1910 is not known.  More research is needed.,
Aeronautic Federation of America,National,,USA,"New York City, New York",,,,1910,1910,"1910 NYT, 24 Apr.; 24 May; 3, 18 & 23-25 June; 1910 WP, 24 May; 1910 St. Louis Post Dispatch, 24 May; 1910 New York Tribune, 23 June; 7 Aeronautics 20-21, 52-53 (1910)","The Aeronautc Federation of America had a life from 2-22 June 1910.  For its history, one has to look back to 23 May 1910 when the American Aeronautic[al] Association, which see, was temporarily organized at a meeting at the Aero Club of America by eight affiliated aero clubs that opposed recent agreements between the ACA and the Wright brothers re the exhibition of machines that the Wrights alleged infringed on their patents.  The ACA-Wright agreements made it impossible for any city to hold an aviation meet under ACA sanction without a license from the Wrights.  The AAA was to meet again on 22 June to form a permanent organization.  On 2 June 1910 at a meeting at the Aeronautic Society of different dissidents, some 39 aero clubs formed the Aeronautic Federation of America and planned to meet jointly with the AAA on 23 June to form one permanent organization after both had met separately on 22 June.  However, the AFA took over the 22 June meeting of the AAA and at an evening session, 36 clubs walked out.  Those who exited met at the ACA and perfected what became the National Council of the Aero Club of America.  Ten of those who remained fomed the American Aeronautical Federation, which see.","Officers elected on 2 June 1910 included Prof. David Todd, Amherst Aero Club, president, and Thomas A. Hill, Aeronautical Society, secetary-treasurer.  By 18 June, it appears there were some 45 aero clubs and societies identified with the AFA.  ","On 22 June 1910, delegates of the Aeronautic Federation of America took over the day meeting of the delegates of American Aeronautic[al] Association.  After this day meeting, a number of the attendees went to dinner with a member of the Aero Club of Amerrica (its Board of Governors had also met that day) and at dinner the idea of forming an ACA national council was proposed.  Upon convening their meeting in the evening, some half of the AAA-AFA delegates walked out.  Those who exited met at the ACA and perfected a temporary organization, made permanent on 23 June, the National Council of Affiliated Clubs of the ACA (which see).  Made permanent on 23 June, the NC gained supreme charge of aviation meets in the US and the ACA retained its representation in the IFA and the right to hold international meets in the US, thus keeping powers it had feared losing to a new organization. ", 
